Store_Number,sum(Total_Sale_Value),sum(Qty_Sold)
0,2640,136684.629301,12264.0
1,3080,188026.539553,13391.0
2,1320,258377.209118,19443.0
3,4070,142049.199244,12113.0
4,4840,152161.539359,11708.0
5,4730,97364.399455,7681.0
6,1540,152911.839090,12159.0
7,2090,126858.929163,10296.0
8,660,132448.959224,10674.0
9,3520,93100.639541,7010.0
10,2420,181115.328747,15180.0
11,770,121225.549423,10359.0
12,2860,104174.039651,7319.0
13,1100,204549.959215,15799.0
14,3300,249908.468828,19186.0
15,3190,145048.799504,11260.0
16,990,143924.499532,11292.0
17,3410,171924.249310,12803.0
18,3630,175933.909085,14123.0
19,2310,159027.799526,12332.0
20,1870,146303.739162,11193.0
21,2200,123656.359273,9795.0
22,880,165711.249216,13448.0
23,1650,224162.189110,16874.0
24,4180,111375.909473,8472.0
25,550,99341.199481,7719.0
26,3740,148554.149225,10937.0
27,2970,331128.828764,24245.0
28,2530,135623.059432,10049.0
29,4400,38558.780140,1565.0
30,2750,180514.189219,13863.0
31,330,150411.158940,11879.0
32,1210,191375.949021,15136.0
33,1760,127894.359282,9823.0
34,1980,104691.329325,8577.0
