SKU_Coded,total_sales
0,6194250,138310.439028
1,6184900,129932.757214
2,6191400,103176.253014
3,6200700,92336.089054
4,6186250,72087.937925
5,6184100,69379.229394
6,6179250,65568.949358
7,6176250,62800.821800
8,6176200,57747.911646
9,6195800,56729.059679
10,6185100,56682.458836
11,6193200,53036.611603
12,6197050,52266.691725
13,6196200,51481.511374
14,6193800,51106.178653
15,6177350,45348.988932
16,6193100,44696.299483
17,6187750,44669.048933
18,6196650,44390.409692
19,6199300,43734.051445
