Store_Number,SKU_Coded,Product_Class_Code,Sold_Date,Qty_Sold,Total_Sale_Value,On_Promo
0,1980,6173350,22800,2023-09-22,7,61.529999,0
1,1980,6174550,22875,2022-02-04,6,5.340000,0
2,1980,6174700,22875,2021-11-14,8,11.920000,0
3,1980,6174750,22875,2024-03-27,6,8.940000,0
4,1980,6175600,22875,2022-04-30,6,4.140000,0
5,1980,6176600,22800,2022-08-05,6,29.400000,0
6,1980,6177200,22975,2022-01-14,7,62.930000,0
7,1980,6177200,22975,2022-08-25,8,31.200001,0
8,1980,6177250,22975,2022-09-07,7,27.299999,0
9,1980,6177350,22800,2021-12-17,8,67.919998,0
10,1980,6177350,22800,2021-12-26,6,50.939999,0
11,1980,6177350,22800,2022-04-27,10,84.900002,0
12,1980,6177350,22800,2023-09-22,10,84.900002,0
13,1980,6177350,22800,2023-12-09,7,59.430000,0
14,1980,6177350,22800,2023-12-14,7,59.430000,0
15,1980,6177350,22800,2023-12-22,6,50.939999,0
16,1980,6177450,22800,2022-09-13,6,29.940001,0
17,1980,6177450,22800,2023-06-11,6,29.940001,0
18,1980,6177450,22800,2024-03-20,12,59.880001,0
19,1980,6177500,22800,2022-06-02,9,44.910000,0
20,1980,6177500,22800,2023-06-11,6,29.940001,0
21,1980,6177750,22875,2022-10-02,7,12.530000,0
22,1980,6177750,22875,2024-01-31,10,17.900000,0
23,1980,6178100,22800,2023-12-11,6,29.760000,0
24,1980,6179000,22800,2022-08-05,7,34.299999,0
25,1980,6179100,22825,2022-01-13,7,40.529999,0
26,1980,6179200,22975,2024-03-22,9,53.910000,0
27,1980,6179300,22800,2022-08-12,7,34.930000,0
28,1980,6179750,22800,2022-08-05,26,127.400002,0
29,1980,6181400,22800,2023-09-22,6,59.939999,0
30,1980,6181450,22800,2022-04-29,8,79.199997,0
31,1980,6181500,22800,2022-06-24,10,49.000000,0
32,1980,6181850,22850,2022-06-27,6,29.940001,0
33,1980,6181950,22850,2022-04-18,6,5.400000,0
34,1980,6181950,22850,2022-06-25,6,5.400000,0
35,1980,6184100,22975,2022-06-26,24,479.760010,0
36,1980,6184100,22975,2022-08-02,8,159.919998,0
37,1980,6184600,24425,2021-12-10,38,3.420000,0
38,1980,6184600,24425,2021-12-17,16,1.440000,0
39,1980,6187500,22800,2022-08-05,9,44.099998,0
40,1980,6187550,22800,2023-07-14,10,189.899994,0
41,1980,6187750,24400,2021-12-24,6,47.939999,0
42,1980,6188250,24425,2022-05-31,6,17.940001,0
43,1980,6188300,22850,2022-08-27,6,17.940001,0
44,1980,6188300,22850,2023-04-29,9,26.910000,0
45,1980,6188300,22850,2024-03-30,6,17.940001,0
46,1980,6188700,22975,2024-03-31,9,269.910004,0
47,1980,6189850,22925,2022-06-17,6,11.400000,0
48,1980,6189850,22925,2022-06-19,7,13.300000,0
49,1980,6190000,22925,2023-11-28,6,107.940002,0
50,1980,6190050,24425,2021-12-01,6,23.940001,0
51,1980,6190050,24425,2021-12-07,74,73.260002,1
52,1980,6190050,24425,2021-12-08,42,41.580002,1
53,1980,6190050,24425,2021-12-15,6,11.940000,0
54,1980,6190050,24425,2021-12-16,9,11.910000,0
55,1980,6190050,24425,2021-12-17,8,7.920000,0
56,1980,6190050,24425,2021-12-18,13,12.870000,0
57,1980,6190050,24425,2021-12-21,6,5.940000,0
58,1980,6190100,24425,2021-11-25,8,31.920000,0
59,1980,6190100,24425,2021-11-30,41,40.590000,1
60,1980,6190100,24425,2021-12-01,34,33.660000,1
61,1980,6190100,24425,2021-12-04,9,32.549999,0
62,1980,6190100,24425,2021-12-14,35,34.650002,1
63,1980,6190100,24425,2021-12-15,74,73.260002,1
64,1980,6190100,24425,2021-12-16,6,11.940000,0
65,1980,6190100,24425,2021-12-20,6,5.940000,0
66,1980,6190100,24425,2021-12-24,7,6.930000,0
67,1980,6190100,24425,2021-12-26,20,19.799999,0
68,1980,6190100,24425,2021-12-27,6,5.940000,0
69,1980,6190100,24425,2021-12-28,16,15.840000,0
70,1980,6190100,24425,2021-12-30,10,9.900000,0
71,1980,6190100,24425,2022-01-11,27,7.830000,0
72,1980,6190150,24425,2021-12-19,10,19.000000,0
73,1980,6190200,24425,2021-12-17,8,15.200000,0
