Sold_Date,daily_total_sales
0,2024-02-01,700.289986
1,2024-02-02,1098.939995
2,2024-02-03,988.260001
3,2024-02-04,736.649989
4,2024-02-05,515.449991
5,2024-02-06,708.200006
6,2024-02-07,621.189996
7,2024-02-08,892.539988
8,2024-02-09,1273.300005
9,2024-02-10,751.479993
10,2024-02-11,641.609998
11,2024-02-12,803.099990
12,2024-02-13,707.629986
13,2024-02-14,665.959997
14,2024-02-15,694.629991
15,2024-02-16,1080.589998
16,2024-02-17,854.139995
17,2024-02-18,755.269994
18,2024-02-19,339.649999
19,2024-02-20,877.230003
20,2024-02-21,775.639997
21,2024-02-22,975.149999
22,2024-02-23,791.849994
23,2024-02-24,1248.950006
24,2024-02-25,1174.529985
25,2024-02-26,774.060001
26,2024-02-27,486.869992
27,2024-02-28,495.139999
28,2024-02-29,633.999999
