SKU_Coded,Total_Units_Sold,Total_Revenue
0,6200700,515088.125879,515088.125879
1,6184900,341808.952810,341808.952810
2,6194250,296872.717907,296872.717907
3,6191400,264871.067286,264871.067286
4,6186250,163875.155296,163875.155296
5,6184100,158712.088621,158712.088621
6,6176200,149519.704277,149519.704277
7,6176250,146405.814148,146405.814148
8,6179250,145054.308485,145054.308485
9,6185100,132404.327278,132404.327278
10,6200650,125459.188012,125459.188012
11,6193200,120931.813671,120931.813671
12,6179450,109872.728781,109872.728781
13,6177350,107732.197505,107732.197505
14,6199250,106781.093248,106781.093248
15,6190450,105843.023338,105843.023338
16,6196650,104853.989300,104853.989300
17,6179600,104083.253410,104083.253410
18,6193800,102779.887266,102779.887266
19,6197050,99789.863564,99789.863564
