SKU_Coded,sum(Qty_Sold),sum(Total_Sale_Value)
0,6200700,52262.0,515088.125879
1,6194250,14905.0,296872.717907
2,6193800,13744.0,102779.887266
3,6177750,12982.0,24268.139672
4,6177350,12702.0,107732.197505
5,6200650,12599.0,125459.188012
6,6187750,11909.0,94285.607714
7,6191100,11750.0,93128.078166
8,6190100,11293.0,14756.900020
9,6200800,10577.0,25954.219908
10,6179250,9731.0,145054.308485
11,6179200,9411.0,52888.138254
12,6192300,8845.0,35013.700175
13,6195800,8676.0,84304.989587
14,6182050,8539.0,67969.048205
15,6173350,8419.0,73853.650037
16,6177450,8396.0,41803.148624
17,6184100,7988.0,158712.088621
18,6201750,7931.0,7774.890016
19,6178100,7911.0,39385.088725
