"date_trunc('month',",Sold_Date),On_Promo,sum(Total_Sale_Value),sum(Qty_Sold)
0,2023-01-01,0,434102.828296,33651.0
1,2023-01-01,1,69.980003,2.0
2,2023-02-01,0,411762.718244,31545.0
3,2023-03-01,0,423070.838309,32460.0
4,2023-04-01,0,378326.478314,29351.0
5,2023-04-01,1,6153.199997,848.0
6,2023-05-01,0,379860.538039,30943.0
7,2023-05-01,1,1465.889984,211.0
8,2023-06-01,0,364806.737856,29082.0
9,2023-07-01,0,353284.207838,27932.0
10,2023-08-01,0,398592.447746,31612.0
11,2023-08-01,1,2469.089983,291.0
12,2023-09-01,0,415126.857461,31789.0
13,2023-09-01,1,7428.110008,58.0
14,2023-10-01,0,446184.807069,36423.0
15,2023-10-01,1,8046.250035,1785.0
16,2023-11-01,0,476004.377225,39141.0
17,2023-11-01,1,35099.910192,1902.0
18,2023-12-01,0,835289.237587,59511.0
19,2023-12-01,1,38974.430744,1430.0
