Sold_Date,sum(Total_Sale_Value),sum(Qty_Sold)
0,2024-03-31,11465.159956,865.0
1,2024-03-30,12130.429914,1043.0
2,2024-03-29,18130.919942,1446.0
3,2024-03-28,12410.239968,1033.0
4,2024-03-27,9486.669932,797.0
5,2024-03-26,8913.299928,808.0
6,2024-03-25,9394.489947,814.0
7,2024-03-24,11490.389904,973.0
8,2024-03-22,14739.649938,1310.0
9,2024-03-21,12593.679940,1017.0
10,2024-03-20,10035.429957,723.0
11,2024-03-19,9781.329939,779.0
12,2024-03-18,8151.019921,759.0
13,2024-03-17,8685.079932,723.0
14,2024-03-16,12654.869916,1019.0
15,2024-03-15,16860.119913,1341.0
16,2024-03-14,12704.229942,1104.0
17,2024-03-13,10113.479960,731.0
18,2024-03-12,9319.179927,743.0
19,2024-03-11,9057.659943,718.0
20,2024-03-10,10858.899962,816.0
21,2024-03-09,12723.899937,1012.0
22,2024-03-08,18448.579874,1541.0
23,2024-03-07,12583.609902,1029.0
24,2024-03-06,10497.679946,803.0
25,2024-03-05,9982.559910,730.0
26,2024-03-04,9461.179928,766.0
27,2024-03-03,11190.739941,941.0
28,2024-03-02,13834.259921,1101.0
29,2024-03-01,16214.309858,1499.0
