SKU_Coded,total_units,total_revenue
0,6200700,52262.0,515088.125879
1,6184900,3817.0,341808.952810
2,6194250,14905.0,296872.717907
3,6191400,5657.0,264871.067286
4,6186250,2358.0,163875.155296
5,6184100,7988.0,158712.088621
6,6176200,2702.0,149519.704277
7,6176250,2645.0,146405.814148
8,6179250,9731.0,145054.308485
9,6185100,1330.0,132404.327278
10,6200650,12599.0,125459.188012
11,6193200,2627.0,120931.813671
12,6179450,7365.0,109872.728781
13,6177350,12702.0,107732.197505
14,6199250,2341.0,106781.093248
15,6190450,2136.0,105843.023338
16,6196650,4644.0,104853.989300
17,6179600,2090.0,104083.253410
18,6193800,13744.0,102779.887266
19,6197050,2631.0,99789.863564
