Store_Number,sum(Qty_Sold),sum(Total_Sale_Value)
0,2970,4061.0,67735.229967
1,3080,3201.0,47103.769739
2,1210,3179.0,53590.399891
3,1650,2889.0,51583.809919
4,3300,2872.0,52745.349853
5,1100,2748.0,44162.889747
6,1320,2506.0,50930.190013
7,2750,2399.0,41942.669923
8,2420,2239.0,41258.299958
9,2200,2111.0,39076.459951
10,2310,2019.0,36246.150019
11,990,2012.0,41125.950106
12,880,2005.0,38132.759994
13,3410,1938.0,33407.269839
14,330,1913.0,33351.169944
15,660,1909.0,35899.000001
16,3630,1898.0,34752.339867
17,1540,1775.0,30341.179863
18,1870,1758.0,32101.399936
19,4840,1744.0,28351.719901
20,3740,1739.0,30222.319891
21,2090,1599.0,26344.379813
22,4070,1576.0,29304.379972
23,1760,1559.0,30691.659863
24,3190,1543.0,26704.299887
