Store_Number,total_revenue,total_units
0,2970,76853.159734,5421.0
1,3300,66626.309749,5318.0
2,1320,62172.839858,4046.0
3,1650,56220.139782,4214.0
4,1100,51486.119914,4098.0
5,3080,48145.879883,3903.0
6,1210,43959.729856,3512.0
7,2420,43363.629744,3883.0
8,2750,43234.119773,3120.0
9,880,42863.479745,3534.0
10,3630,40257.639818,3356.0
11,2310,38919.459938,2727.0
12,1540,37388.279729,3087.0
13,660,37187.619883,2694.0
14,1870,36756.709768,2846.0
15,4840,36607.989831,2817.0
16,3410,36513.879942,2582.0
17,2090,35334.039831,2924.0
18,4070,35114.819833,3127.0
19,330,34503.009759,2814.0
20,990,34048.199931,2471.0
21,3740,32873.009876,2274.0
22,1760,32860.329846,2434.0
23,2200,31966.259884,2530.0
24,3190,31134.779882,2401.0
25,770,29096.689838,2595.0
26,2640,27016.909833,2143.0
27,4180,24823.079898,1845.0
28,550,24038.359882,1928.0
29,2530,23853.799933,1756.0
