SKU_Coded,avg_unit_price,total_units,total_revenue
0,6204850,149.219459,415.0,61797.711670
1,6204800,113.248351,540.0,61129.980629
2,6185100,99.528491,1330.0,132404.327278
3,6195750,89.943765,149.0,13399.509682
4,6184900,89.526630,3817.0,341808.952810
5,6179650,86.996213,607.0,51841.438976
6,6202800,79.959695,150.0,11994.499710
7,6202350,79.674696,585.0,46608.888786
8,6197600,79.664956,961.0,76555.637985
9,6202500,79.011742,297.0,23449.639423
10,6186250,69.461326,2358.0,163875.155296
11,6203450,69.169886,96.0,6646.049843
12,6198500,68.856150,391.0,26942.199215
13,6195250,60.586013,569.0,34411.530737
14,6185150,59.704752,427.0,25501.630703
15,6202900,59.053611,177.0,10459.980293
16,6196350,58.292683,619.0,36046.020971
17,6176250,55.346200,2645.0,146405.814148
18,6176200,55.315807,2702.0,149519.704277
19,6192500,54.702523,1352.0,73951.592205
20,6196200,54.168603,1366.0,74035.371582
21,6197000,53.605857,101.0,5401.869850
22,6179600,49.800758,2090.0,104083.253410
23,6187700,49.640977,255.0,12648.320265
24,6190450,49.565925,2136.0,105843.023338
25,6200000,49.528621,672.0,33296.191074
26,6198550,49.485508,426.0,21100.930643
27,6199050,49.482765,694.0,34331.081085
28,6190500,49.438377,1196.0,59138.981873
29,6193250,49.103932,484.0,23685.140501
30,6196550,48.514333,1039.0,50185.581646
31,6191400,47.628361,5657.0,264871.067286
32,6199300,47.337144,1828.0,85212.582848
33,6193200,47.055294,2627.0,120931.813671
34,6199150,46.882313,1532.0,70299.682259
35,6199250,46.750112,2341.0,106781.093248
36,6188750,45.255037,301.0,13648.960375
37,6199100,44.729179,910.0,40699.251480
38,6200550,44.467524,518.0,23030.870823
39,6185200,44.035202,276.0,11878.290142
