SKU_Coded,avg_unit_price,total_units,total_revenue
0,6204850,148.910149,415.0,61797.711670
1,6204800,113.203668,540.0,61129.980629
2,6185100,99.552126,1330.0,132404.327278
3,6195750,89.929595,149.0,13399.509682
4,6184900,89.549110,3817.0,341808.952810
5,6179650,85.405995,607.0,51841.438976
6,6202800,79.963331,150.0,11994.499710
7,6202350,79.673314,585.0,46608.888786
8,6197600,79.662474,961.0,76555.637985
9,6202500,78.955015,297.0,23449.639423
10,6186250,69.497521,2358.0,163875.155296
11,6203450,69.229686,96.0,6646.049843
12,6198500,68.905880,391.0,26942.199215
13,6195250,60.477207,569.0,34411.530737
14,6185150,59.722789,427.0,25501.630703
15,6202900,59.095934,177.0,10459.980293
16,6196350,58.232667,619.0,36046.020971
17,6176250,55.351915,2645.0,146405.814148
18,6176200,55.336678,2702.0,149519.704277
19,6192500,54.697923,1352.0,73951.592205
20,6196200,54.198661,1366.0,74035.371582
21,6197000,53.483860,101.0,5401.869850
22,6179600,49.800600,2090.0,104083.253410
23,6187700,49.601256,255.0,12648.320265
24,6190450,49.551977,2136.0,105843.023338
25,6200000,49.547903,672.0,33296.191074
26,6198550,49.532701,426.0,21100.930643
27,6199050,49.468417,694.0,34331.081085
28,6190500,49.447309,1196.0,59138.981873
29,6193250,48.936241,484.0,23685.140501
30,6196550,48.301811,1039.0,50185.581646
31,6191400,46.821826,5657.0,264871.067286
32,6199300,46.615198,1828.0,85212.582848
33,6193200,46.034189,2627.0,120931.813671
34,6199150,45.887521,1532.0,70299.682259
35,6199250,45.613453,2341.0,106781.093248
36,6188750,45.345383,301.0,13648.960375
37,6199100,44.724452,910.0,40699.251480
38,6200550,44.461141,518.0,23030.870823
39,6196500,43.588645,531.0,23145.570544
