"date_trunc('month',",Sold_Date),sum(Total_Sale_Value),sum(Qty_Sold)
0,2023-01-01,434172.808300,33653.0
1,2023-02-01,411762.718244,31545.0
2,2023-03-01,423070.838309,32460.0
3,2023-04-01,384479.678311,30199.0
4,2023-05-01,381326.428023,31154.0
5,2023-06-01,364806.737856,29082.0
6,2023-07-01,353284.207838,27932.0
7,2023-08-01,401061.537729,31903.0
8,2023-09-01,422554.967469,31847.0
9,2023-10-01,454231.057104,38208.0
10,2023-11-01,511104.287418,41043.0
11,2023-12-01,874263.668331,60941.0
