Store_Number,Total_Sales
0,330,370503.687331
1,1210,508393.767785
2,1760,350747.617798
3,2750,453664.808068
4,1980,242290.828499
5,3410,410567.848126
6,990,378433.018639
7,1650,580443.007953
8,880,420302.088397
9,550,229727.498752
10,4180,272208.118542
11,2420,406715.767402
12,660,343594.978075
13,770,292968.918642
14,2860,132320.519487
15,3520,145701.079372
16,3190,335035.018792
17,1100,497509.528013
18,3300,619660.167018
19,2310,412579.388504
20,2200,361173.288199
21,3630,405034.547846
22,1870,401070.997685
23,1320,592832.067579
24,3080,495458.238811
25,4840,389056.668316
26,2090,309996.247965
27,2640,308990.318559
28,4070,322307.968330
29,1540,427777.427815
30,4730,239711.708869
31,2970,836341.327191
32,3740,359729.808228
33,2530,324046.518720
34,4400,95745.620250
