Store_Number,total_sales
0,2970,836341.327191
1,3300,619660.167018
2,1320,592832.067579
3,1650,580443.007953
4,1210,508393.767785
5,1100,497509.528013
6,3080,495458.238811
7,2750,453664.808068
8,1540,427777.427815
9,880,420302.088397
10,2310,412579.388504
11,3410,410567.848126
12,2420,406715.767402
13,3630,405034.547846
14,1870,401070.997685
15,4840,389056.668316
16,990,378433.018639
17,330,370503.687331
18,2200,361173.288199
19,3740,359729.808228
20,1760,350747.617798
21,660,343594.978075
22,3190,335035.018792
23,2530,324046.518720
24,4070,322307.968330
25,2090,309996.247965
26,2640,308990.318559
27,770,292968.918642
28,4180,272208.118542
29,1980,242290.828499
30,4730,239711.708869
31,550,229727.498752
32,3520,145701.079372
33,2860,132320.519487
34,4400,95745.620250
