Store_Number,SKU_Coded,Product_Class_Code,min(Sold_Date),max(Sold_Date)
0,3520,6178500,22875,2024-02-12,2024-02-12
1,3190,6178600,22875,2021-11-10,2024-02-25
2,3630,6178600,22875,2021-11-13,2023-11-23
3,1320,6178600,22875,2021-11-23,2024-03-17
4,1540,6178600,22875,2021-12-24,2024-02-22
5,2420,6178600,22875,2022-01-09,2024-01-21
6,330,6178600,22875,2022-01-27,2024-02-06
7,1980,6178600,22875,2022-02-03,2024-02-08
8,4070,6178650,22875,2021-11-21,2024-01-18
9,2640,6178650,22875,2021-12-09,2024-01-13
10,2860,6178650,22875,2023-05-13,2024-03-11
11,1870,6178700,22875,2021-11-06,2023-12-03
12,1100,6178700,22875,2021-11-09,2024-01-13
13,3300,6178700,22875,2021-11-10,2024-02-01
14,3740,6178700,22875,2021-11-12,2024-03-28
15,2200,6178700,22875,2021-11-19,2024-02-26
16,2090,6178700,22875,2022-01-06,2024-03-27
17,770,6178750,22875,2021-11-06,2024-02-20
18,770,6178800,22875,2022-06-18,2023-12-05
19,4730,6178800,22875,2022-09-21,2024-02-09
20,2420,6178850,22875,2021-11-13,2024-03-30
21,770,6178850,22875,2021-12-03,2024-02-17
22,880,6178850,22875,2021-12-21,2024-03-28
23,3740,6178850,22875,2022-01-16,2023-07-19
24,4730,6178850,22875,2022-12-09,2023-07-28
25,330,6178900,22875,2021-11-19,2024-02-19
26,3410,6178900,22875,2021-12-07,2023-03-24
27,3630,6178900,22875,2021-12-17,2024-01-20
28,4180,6178900,22875,2021-12-24,2021-12-24
29,1540,6178900,22875,2022-04-01,2023-03-17
30,2640,6178900,22875,2022-06-24,2024-02-09
31,2200,6178950,22850,2021-11-02,2024-02-05
32,1320,6178950,22850,2021-11-04,2024-03-25
33,4400,6178950,22850,2021-11-15,2023-12-23
34,2420,6178950,22850,2021-11-16,2024-03-08
35,1760,6179000,22800,2021-11-13,2022-11-26
36,1980,6179000,22800,2021-11-17,2022-08-18
37,4400,6179000,22800,2022-03-27,2022-06-19
38,2310,6179050,22800,2021-11-02,2024-03-29
39,1320,6179050,22800,2021-11-02,2024-03-19
40,1100,6179050,22800,2021-11-09,2024-01-21
41,770,6179050,22800,2021-11-11,2024-03-28
42,550,6179050,22800,2021-12-03,2024-03-31
43,1210,6179050,22800,2021-12-05,2024-03-14
44,3410,6179100,22825,2021-11-05,2022-04-22
45,2640,6179100,22825,2021-11-12,2022-08-14
46,4840,6179150,22975,2021-11-03,2024-03-29
47,2970,6179150,22975,2021-11-04,2024-03-31
48,1760,6179150,22975,2021-11-17,2024-03-16
