Store_Number,SKU_Coded,Product_Class_Code,Sold_Date,Qty_Sold,Total_Sale_Value,On_Promo
0,1320,6172800,22875,2021-11-02,3,56.849998,0
1,2310,6172800,22875,2021-11-03,1,18.950001,0
2,3080,6172800,22875,2021-11-03,1,18.950001,0
3,2310,6172800,22875,2021-11-06,1,18.950001,0
4,4840,6172800,22875,2021-11-07,1,18.950001,0
5,1320,6172800,22875,2021-11-08,1,18.950001,0
6,2310,6172800,22875,2021-11-08,2,37.900002,0
7,330,6172800,22875,2021-11-10,1,18.950001,0
8,2200,6172800,22875,2021-11-10,1,18.950001,0
9,2090,6172800,22875,2021-11-14,1,18.950001,0
10,1650,6172800,22875,2021-11-16,1,18.950001,0
11,2310,6172800,22875,2021-11-17,1,18.950001,0
12,2420,6172800,22875,2021-11-18,1,12.510000,0
13,880,6172800,22875,2021-11-19,1,18.950001,0
14,2970,6172800,22875,2021-11-21,2,37.900002,0
15,2200,6172800,22875,2021-11-21,1,18.950001,0
16,330,6172800,22875,2021-11-23,2,37.900002,0
17,1210,6172800,22875,2021-11-25,1,18.950001,0
18,1980,6172850,22875,2021-11-01,1,19.990000,0
19,1320,6172850,22875,2021-11-02,1,19.990000,0
20,4070,6172850,22875,2021-11-07,1,19.990000,0
21,1870,6172850,22875,2021-11-07,1,19.990000,0
22,1320,6172850,22875,2021-11-08,1,19.990000,0
23,2310,6172850,22875,2021-11-08,1,19.990000,0
24,3080,6172850,22875,2021-11-10,1,19.990000,0
25,3740,6172850,22875,2021-11-13,1,19.990000,0
26,880,6172850,22875,2021-11-14,2,39.980000,0
27,2970,6172850,22875,2021-11-17,1,19.990000,0
28,4840,6172850,22875,2021-11-20,2,39.900002,0
29,3300,6172850,22875,2021-11-25,4,79.959999,0
30,1210,6172850,22875,2021-11-26,1,19.990000,0
31,2750,6172850,22875,2021-11-28,1,19.990000,0
32,330,6172900,22850,2021-11-02,1,7.990000,0
33,3080,6172900,22850,2021-11-03,3,23.969999,0
34,1100,6172900,22850,2021-11-04,1,7.990000,0
35,1870,6172900,22850,2021-11-05,1,7.990000,0
36,330,6172900,22850,2021-11-05,2,15.980000,0
37,1210,6172900,22850,2021-11-10,1,7.990000,0
38,1210,6172900,22850,2021-11-11,1,7.990000,0
39,1100,6172900,22850,2021-11-11,1,7.990000,0
40,1870,6172900,22850,2021-11-12,1,7.990000,0
41,3300,6172900,22850,2021-11-12,1,7.990000,0
42,1760,6172900,22850,2021-11-13,2,15.980000,0
43,1100,6172900,22850,2021-11-13,1,7.990000,0
44,2420,6172900,22850,2021-11-17,1,7.990000,0
45,880,6172900,22850,2021-11-18,1,7.990000,0
46,4180,6172900,22850,2021-11-19,1,7.990000,0
47,880,6172900,22850,2021-11-19,1,7.990000,0
48,2750,6172900,22850,2021-11-19,1,7.990000,0
49,550,6172900,22850,2021-11-20,1,7.990000,0
50,1210,6172900,22850,2021-11-21,1,7.990000,0
51,3630,6172900,22850,2021-11-21,1,7.990000,0
52,1540,6172900,22850,2021-11-21,1,7.990000,0
53,3300,6172900,22850,2021-11-22,1,7.990000,0
54,2640,6172900,22850,2021-11-22,1,7.990000,0
55,1100,6172900,22850,2021-11-23,1,7.990000,0
56,1760,6172900,22850,2021-11-25,1,7.990000,0
57,550,6172900,22850,2021-11-25,1,7.990000,0
58,4730,6172900,22850,2021-11-25,1,7.990000,0
59,4730,6172900,22850,2021-11-26,1,7.990000,0
