rep,two_stage_cot,best_of_n,t0,tmax,experiment,csv_score_mean,csv_score_std,csv_score_min,csv_score_max,text_score_mean,text_score_std,text_score_min,text_score_max,bleu_mean,bleu_std,bleu_min,bleu_max,spice_mean,spice_std,spice_min,spice_max,best_score_mean,best_score_std,best_score_min,best_score_max,n_tests
1,False,1,0.0,0.15,rep1_tsfalse_bon1_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.29526897030753807,0.26647138169571427,1.1461721342858937e-05,0.7157776185897019,0.23386733523479325,0.24081752629864608,2.2923442685717873e-05,0.6639762881157338,0.35667060538028283,0.30639980571012326,0.0,0.8000000000000002,0.645268970307538,0.6115492597380339,1.1461721342858937e-05,1.7157776185897018,11
1,False,2,0.0,0.15,rep1_tsfalse_bon2_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.30184446504719,0.2664639207025503,1.1461721342858937e-05,0.7157776185897019,0.23775229363142766,0.24068753804602178,2.2923442685717873e-05,0.6639762881157338,0.36593663646295227,0.307043876130905,0.0,0.8000000000000002,0.65184446504719,0.6081844582097897,1.1461721342858937e-05,1.7157776185897018,11
1,False,3,0.0,0.15,rep1_tsfalse_bon3_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.30878345738654944,0.272691714631659,1.1461721342858937e-05,0.7565877837896628,0.23651139134915447,0.2396291214301917,2.2923442685717873e-05,0.6560327104364686,0.38105552342394444,0.3185946322769762,0.0,0.8571428571428571,0.6587834573865494,0.6154662688389073,1.1461721342858937e-05,1.7157776185897018,11
1,True,1,0.0,0.15,rep1_tstrue_bon1_t0_tmax0p15,0.375,0.5175491695067657,0.0,1.0,0.3501350028932903,0.27879674877532534,0.0,0.7340441979572936,0.2667926632366574,0.2539502620061786,0.0,0.6109455387717302,0.4334773425499232,0.3399593158095517,0.0,0.8571428571428571,0.7251350028932904,0.6173378729557356,0.0,1.7340441979572936,11
1,True,2,0.0,0.15,rep1_tstrue_bon2_t0_tmax0p15,0.35978835978835977,0.48626900577906,0.0,1.0,0.33810443881964847,0.2741613126151801,0.00045764740199548285,0.7340441979572936,0.2631016145320338,0.23679096947487382,0.0009152948039909657,0.6109455387717302,0.4131072631072631,0.3405032475893124,0.0,0.8571428571428571,0.7349298356450453,0.5382598737231425,0.23855288549723355,1.7340441979572936,11
1,True,3,0.0,0.15,rep1_tstrue_bon3_t0_tmax0p15,0.45954601990049754,0.47548837499446195,0.0,1.0,0.35219325837672744,0.26648126527722454,0.008012653910648143,0.7340441979572936,0.28388655777523497,0.26164879585184597,0.004137666424178714,0.6315552371794037,0.4204999589782198,0.30486958480490045,0.0,0.8571428571428571,0.9117392782772249,0.5416935808058044,0.37543592144604937,1.7340441979572936,11
2,False,1,0.0,0.15,rep2_tsfalse_bon1_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.29526897030753807,0.26647138169571427,1.1461721342858937e-05,0.7157776185897019,0.23386733523479325,0.24081752629864608,2.2923442685717873e-05,0.6639762881157338,0.35667060538028283,0.30639980571012326,0.0,0.8000000000000002,0.645268970307538,0.6115492597380339,1.1461721342858937e-05,1.7157776185897018,11
2,False,2,0.0,0.15,rep2_tsfalse_bon2_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.3207369163131915,0.2572069163536505,0.00399481366522636,0.7565877837896628,0.23281910026197314,0.23945592846784702,0.0018390969477240892,0.6560327104364686,0.40865473236440975,0.29449839616039525,0.0,0.8571428571428571,0.6707369163131915,0.5958910893713367,0.00399481366522636,1.7157776185897018,11
2,False,3,0.0,0.15,rep2_tsfalse_bon3_t0_tmax0p15,0.28333545591021886,0.416109134429783,0.0,1.0,0.29971632164918577,0.26325152422608994,0.006378976876188362,0.7157776185897019,0.23675408897598155,0.24059954090949467,0.007551165395092358,0.6639762881157338,0.36267855432238993,0.3011366835627777,0.0,0.8000000000000002,0.6497184442260713,0.6081001794182133,0.006400202645043598,1.7157776185897018,11
2,True,1,0.0,0.15,rep2_tstrue_bon1_t0_tmax0p15,0.375,0.5175491695067657,0.0,1.0,0.3501350028932903,0.27879674877532534,0.0,0.7340441979572936,0.2667926632366574,0.2539502620061786,0.0,0.6109455387717302,0.4334773425499232,0.3399593158095517,0.0,0.8571428571428571,0.7251350028932904,0.6173378729557356,0.0,1.7340441979572936,11
