experiment,test_dir,test_case,rep,two_stage_cot,best_of_n,t0,tmax,prompt,stage,duration_ms,emissions_kg_est,stage_metrics_path
rep1_tsfalse_bon1_t0_tmax_0_,test_1,1,1,False,1,0,0,What is the total sales in october 2022 ?,analyzing_data,473,3.871007415918263e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_1\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_1,1,1,False,1,0,0,What is the total sales in october 2022 ?,lookup_sales_data,1145,9.370620488850762e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_1\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_2,2,1,False,1,0,0,How many units we sold in september 2022 ?,analyzing_data,454,3.171075956652439e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_2\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_2,2,1,False,1,0,0,How many units we sold in september 2022 ?,lookup_sales_data,1143,7.983567882056692e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_2\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_3,3,1,False,1,0,0,Find product categories that decreased sales during the 2021 holiday season (November to December),analyzing_data,10095,0.00022342801979905708,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_3\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_3,3,1,False,1,0,0,Find product categories that decreased sales during the 2021 holiday season (November to December),lookup_sales_data,3487,7.717617682410224e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_3\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_4,4,1,False,1,0,0,How much was the variational change between in sales beween January to February in 2022,analyzing_data,569,3.5264269949290006e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_4\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_4,4,1,False,1,0,0,How much was the variational change between in sales beween January to February in 2022,lookup_sales_data,1320,8.180814821276416e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_4\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_5,5,1,False,1,0,0,Which store has the most sales in october 2022 ?,analyzing_data,741,3.4669961751115334e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_5\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_5,5,1,False,1,0,0,Which store has the most sales in october 2022 ?,lookup_sales_data,1740,8.14112462171939e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_5\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_6,6,1,False,1,0,0,List top 10 stores by average transaction value during December 2021,analyzing_data,2556,0.00011336509576302283,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_6\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_6,6,1,False,1,0,0,List top 10 stores by average transaction value during December 2021,lookup_sales_data,1517,6.728280527093335e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_6\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_7,7,1,False,1,0,0,Show me in a bar plot the monthly sales in 2022,analyzing_data,3563,0.00012105795681553627,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_7\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_7,7,1,False,1,0,0,Show me in a bar plot the monthly sales in 2022,create_visualization,4875,0.00016563500967604246,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_7\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_7,7,1,False,1,0,0,Show me in a bar plot the monthly sales in 2022,decide_tool,799,2.7147153380750344e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_7\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_7,7,1,False,1,0,0,Show me in a bar plot the monthly sales in 2022,lookup_sales_data,1945,6.608412180921079e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_7\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_8,8,1,False,1,0,0,"Show store performance for Q1 2022 (January to March) in total revenue, ordered by total revenue.",analyzing_data,8627,0.0004187998344982282,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_8\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_8,8,1,False,1,0,0,"Show store performance for Q1 2022 (January to March) in total revenue, ordered by total revenue.",lookup_sales_data,1768,8.582799436569692e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_8\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_9,9,1,False,1,0,0,Give me by SKU level the top 3 products in January 2022,analyzing_data,1346,6.416148622419494e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_9\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_9,9,1,False,1,0,0,Give me by SKU level the top 3 products in January 2022,lookup_sales_data,1669,7.955833618735612e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_9\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_11,11,1,False,1,0,0,"Show me all the sales registered from January 2022 to January 2023, grouped by month. Then show me some insights about the sales and plot the data as bar plot - visualization",analyzing_data,4025,0.00012528830327011633,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_11\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_11,11,1,False,1,0,0,"Show me all the sales registered from January 2022 to January 2023, grouped by month. Then show me some insights about the sales and plot the data as bar plot - visualization",create_visualization,5717,0.00017795608193670932,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_11\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_11,11,1,False,1,0,0,"Show me all the sales registered from January 2022 to January 2023, grouped by month. Then show me some insights about the sales and plot the data as bar plot - visualization",decide_tool,624,1.9423577947963376e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_11\stage_metrics.json
rep1_tsfalse_bon1_t0_tmax_0_,test_11,11,1,False,1,0,0,"Show me all the sales registered from January 2022 to January 2023, grouped by month. Then show me some insights about the sales and plot the data as bar plot - visualization",lookup_sales_data,1711,5.325920171308548e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon1_t0_tmax_0_\test_11\stage_metrics.json
rep1_tsfalse_bon2_t0_tmax_0_,test_1,1,1,False,2,0,0,What is the total sales in october 2022 ?,analyzing_data,705,8.477798530781921e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon2_t0_tmax_0_\test_1\stage_metrics.json
rep1_tsfalse_bon2_t0_tmax_0_,test_1,1,1,False,2,0,0,What is the total sales in october 2022 ?,lookup_sales_data,1147,0.00013792957325967182,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon2_t0_tmax_0_\test_1\stage_metrics.json
rep1_tsfalse_bon2_t0_tmax_0_,test_2,2,1,False,2,0,0,How many units we sold in september 2022 ?,analyzing_data,452,6.0724823167380786e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon2_t0_tmax_0_\test_2\stage_metrics.json
rep1_tsfalse_bon2_t0_tmax_0_,test_2,2,1,False,2,0,0,How many units we sold in september 2022 ?,lookup_sales_data,1146,0.0001539616091810141,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\output_google_colab\rep1_tsfalse_bon2_t0_tmax_0_\test_2\stage_metrics.json
