experiment,test_dir,test_case,rep,two_stage_cot,best_of_n,t0,tmax,prompt,total_duration_ms_from_stages,total_emissions_kg_from_stage_metrics,stage_metrics_path,batch_times_duration_ms,batch_times_exit_code,codecarbon_timestamp,codecarbon_project_name,codecarbon_run_id,codecarbon_experiment_id,codecarbon_duration,codecarbon_emissions,codecarbon_energy_consumed,codecarbon_cpu_energy,codecarbon_gpu_energy,codecarbon_ram_energy
rep1_tsfalse_bon1_t0_tmax0p15,test_1,1,1,False,1,0.0,0.15,What is the total sales in october 2022 ?,3501.0,2.9590352972960267e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_1\stage_metrics.json,18050,0,2026-01-31T04:15:46,SalesDataAgent,b9431540-5e0f-49b8-8c3c-068ad12664f4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.061322667002967,1.401228649326524e-05,4.236928892066727e-05,2.483722118072451e-05,6.425768154946934e-06,1.110629958499582e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_2,2,1,False,1,0.0,0.15,How many units we sold in september 2022 ?,2955.0,1.7505444647236026e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_2\stage_metrics.json,16544,0,2026-01-31T01:01:45,SalesDataAgent,6e6bb63c-5ac0-49bc-b414-33ffaa8d60af,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.105523958001868,1.7505444647236026e-05,5.293163555426685e-05,3.2479320675416016e-05,9.91109918636168e-06,1.0541215692489158e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_3,3,1,False,1,0.0,0.15,Find product categories that decreased sales during the 2021 holiday season (November to December),4141.0,2.2214882745724683e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_3\stage_metrics.json,19389,0,2026-01-31T01:02:05,SalesDataAgent,50c02cb1-1f11-42bb-b5ed-644a506ff3b4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,15.225072499997625,2.2214882745724683e-05,6.717167721661561e-05,3.146414858952301e-05,2.3547315640431425e-05,1.216021298666116e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_4,4,1,False,1,0.0,0.15,How much was the variational change between in sales beween January to February in 2022,3472.0,1.984441671033556e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_4\stage_metrics.json,16833,0,2026-01-31T05:45:47,SalesDataAgent,14d60116-8136-4396-b2fb-dcbef235aa25,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.130490582996572,1.834518725347586e-05,5.547078554380426e-05,3.357376503435238e-05,1.0022766516957347e-05,1.1874253992494536e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_5,5,1,False,1,0.0,0.15,Which store has the most sales in october 2022 ?,3537.0,1.9835923344334947e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_5\stage_metrics.json,16813,0,2026-01-31T05:46:04,SalesDataAgent,233bfd74-bf4a-4aed-a84e-30c3e92aa5fe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.984682292000798,1.7480619610141212e-05,5.285657149033682e-05,3.231090148390658e-05,9.031991393917744e-06,1.1513678612512497e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_6,6,1,False,1,0.0,0.15,List top 10 stores by average transaction value during December 2021,6902.0,2.463202776669653e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_6\stage_metrics.json,23175,0,2026-01-31T01:03:04,SalesDataAgent,489c6a35-7a42-49c5-88f8-121db7fa89b5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,18.74938549999933,2.463202776669653e-05,7.448045696544043e-05,3.770274713692047e-05,2.2526157084335896e-05,1.4251552744184062e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_7,7,1,False,1,0.0,0.15,Show me in a bar plot the monthly sales in 2022,21307.0,4.777183503867274e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_7\stage_metrics.json,45480,0,2026-01-31T06:23:57,SalesDataAgent,1ddfdd51-9acb-47e3-9e02-13e91613dd63,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,41.44668745799572,2.865163308303161e-05,8.663463459210448e-05,3.6882552376903566e-05,2.6563697251865595e-05,2.318838496333531e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_8,8,1,False,1,0.0,0.15,"Show store performance for Q1 2022 (January to March) in total revenue, ordered by total revenue.",37534.0,6.848802445259071e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_8\stage_metrics.json,78767,0,2026-01-31T01:05:09,SalesDataAgent,64ebc8c5-209b-4474-974b-3c75468e9298,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,74.37457200000063,6.848802445259071e-05,0.0002070888928107,0.0001067604545534,5.8809098081404325e-05,4.151934017586124e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_9,9,1,False,1,0.0,0.15,Give me by SKU level the top 3 products in January 2022,5381.0,2.4369076704344573e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_9\stage_metrics.json,20169,0,2026-01-31T01:05:30,SalesDataAgent,75f66e68-97dc-4193-b90f-15a8c3b50fb2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,15.979335957999863,2.4369076704344573e-05,7.368536549067354e-05,3.237083869272551e-05,2.862427530379772e-05,1.2690251494150287e-05
rep1_tsfalse_bon1_t0_tmax0p15,test_10,10,1,False,1,0.0,0.15,"Which stores sold more than 1000 items in December 2021? Show total and promo sales, then plot them with a visualization",,2.0933543191830045e-05,C:\Users\Recup\Documents\Polimi\PACS\DataAgent\exp5_bestof_sweep\rep1_tsfalse_bon1_t0_tmax0p15\test_10\stage_metrics.json,15786,0,2026-01-31 07:05:50,SalesDataAgent,2c518580-8113-4ad4-adba-29d6f75cfeea,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,111.70569579199946,5.43254087925731e-05,0.0001642650499597,7.04759100992713e-05,4.302583489621088e-05,5.076330496422088e-05
